,Name,Location,Magnitude,URL
1315,"M 4.4 - 64 km SSW of Puerto El Triunfo, El Salvador","64 km SSW of Puerto El Triunfo, El Salvador",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phsz
1113,"M 4.4 - 234 km WNW of Houma, Tonga","234 km WNW of Houma, Tonga",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phxt
997,"M 4.4 - 139 km NE of Lospalos, Timor Leste","139 km NE of Lospalos, Timor Leste",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phzz
892,"M 4.4 - 25 km S of Gelemso, Ethiopia","25 km S of Gelemso, Ethiopia",4.4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi3a
600,M 4.3 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pibj
127,"M 4.3 - 12 km SW of Silos, Colombia","12 km SW of Silos, Colombia",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pisv
941,"M 4.3 - 51 km NNW of Āwash, Ethiopia","51 km NNW of Āwash, Ethiopia",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi1v
1013,"M 4.3 - 21 km ENE of Āwash, Ethiopia","21 km ENE of Āwash, Ethiopia",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phzk
963,"M 4.3 - 44 km S of El Rosario, El Salvador","44 km S of El Rosario, El Salvador",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi14
1277,"M 4.3 - 73 km S of Angoram, Papua New Guinea","73 km S of Angoram, Papua New Guinea",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phtz
1439,"M 4.3 - 35 km SW of Illapel, Chile","35 km SW of Illapel, Chile",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phph
143,M 4.3 - western Xizang,western Xizang,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pis4
1508,"M 4.3 - 257 km SE of Katsuura, Japan","257 km SE of Katsuura, Japan",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phew
232,"M 4.3 - 44 km ENE of Lae, Papua New Guinea","44 km ENE of Lae, Papua New Guinea",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pil3
469,M 4.3 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pif3
339,"M 4.3 - 99 km WNW of Höfn, Iceland","99 km WNW of Höfn, Iceland",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piih
354,"M 4.3 - 23 km SE of Nusa Dua, Indonesia","23 km SE of Nusa Dua, Indonesia",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piic
604,M 4.3 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pibd
590,M 4.3 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pibs
1499,"M 4.3 - 48 km SW of Palaióchora, Greece","48 km SW of Palaióchora, Greece",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phg1
1326,"M 4.3 - 154 km WSW of Nabire, Indonesia","154 km WSW of Nabire, Indonesia",4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phsv
1680,M 4.3 - Kermadec Islands region,Kermadec Islands region,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phbm
480,M 4.2 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piev
809,"M 4.2 - 24 km NE of Tinogasta, Argentina","24 km NE of Tinogasta, Argentina",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi4f
580,M 4.2 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pic1
447,"M 4.2 - 64 km E of Taltal, Chile","64 km E of Taltal, Chile",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pifa
274,"M 4.2 - 32 km W of Port-Vila, Vanuatu","32 km W of Port-Vila, Vanuatu",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pik8
123,"M 4.2 - 56 km S of Whites City, New Mexico","56 km S of Whites City, New Mexico",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aoxt
1003,"M 4.2 - 19 km WNW of Āwash, Ethiopia","19 km WNW of Āwash, Ethiopia",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phzx
1564,"M 4.2 - 105 km NNE of Mount Hagen, Papua New Guinea","105 km NNE of Mount Hagen, Papua New Guinea",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phdy
1581,"M 4.2 - 67 km S of Adak, Alaska","67 km S of Adak, Alaska",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phdp
1462,M 4.2 - Kuril Islands,Kuril Islands,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phmb
1469,"M 4.2 - 69 km WNW of Ollagüe, Chile","69 km WNW of Ollagüe, Chile",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phla
1131,"M 4.2 - 51 km NW of Pārūn, Afghanistan","51 km NW of Pārūn, Afghanistan",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phx6
1072,"M 4.2 - 44 km ESE of Khorugh, Tajikistan","44 km ESE of Khorugh, Tajikistan",4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phyj
360,M 4.2 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piia
192,"M 4.1 - 96 km SSE of Klyuchi, Russia","96 km SSE of Klyuchi, Russia",4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piqf
228,M 4.1 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pil5
1239,"M 4.1 - 15 km NW of Port-Vila, Vanuatu","15 km NW of Port-Vila, Vanuatu",4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phuj
897,"M 4.1 - 20 km SSW of Tokoroa, New Zealand","20 km SSW of Tokoroa, New Zealand",4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi35
884,"M 4.1 - 3 km ESE of Lárdos, Greece","3 km ESE of Lárdos, Greece",4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi3c
1421,"M 4.1 - 41 km SE of Londres, Argentina","41 km SE of Londres, Argentina",4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phq6
653,"M 4.1 - 70 km SSW of Fīrūzābād, Iran","70 km SSW of Fīrūzābād, Iran",4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi93
478,M 4.1 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000piey
379,M 4.1 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pihp
636,M 4.1 - Southern Tibetan Plateau,Southern Tibetan Plateau,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi9m
1187,"M 4.0 - 123 km NNW of Pante Makasar, Timor Leste","123 km NNW of Pante Makasar, Timor Leste",4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phvp
277,"M 4.0 - 28 km WSW of Port-Vila, Vanuatu","28 km WSW of Port-Vila, Vanuatu",4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pik5
709,"M 4.0 - 93 km ENE of Khorugh, Tajikistan","93 km ENE of Khorugh, Tajikistan",4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi78
498,"M 4.0 - Izu Islands, Japan region","Izu Islands, Japan region",4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pidp
630,"M 4.0 - 17 km WSW of Nanyaojie, China","17 km WSW of Nanyaojie, China",4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi9u
227,"M 4.0 - 94 km SSE of Nusa Dua, Indonesia","94 km SSE of Nusa Dua, Indonesia",4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pil9
1276,"M 3.9 - 25 km WNW of Puerto, Chile","25 km WNW of Puerto, Chile",3.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phty
105,"M 3.9 - 113 km N of Charlotte Amalie, U.S. Virgin Islands","113 km N of Charlotte Amalie, U.S. Virgin Islands",3.88,https://earthquake.usgs.gov/earthquakes/eventpage/pr2025009000
93,"M 3.9 - 78 km WNW of Petrolia, CA","78 km WNW of Petrolia, CA",3.86,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114796
